close,ma3,signal,ret,pnl
100,,-1,,
102,,-1,0.020000000000000018,-0.020000000000000018
101,101.0,-1,-0.009803921568627416,0.009803921568627416
103,102.0,1,0.01980198019801982,-0.01980198019801982
104,102.66666666666667,1,0.009708737864077666,0.009708737864077666
106,104.33333333333333,1,0.019230769230769162,0.019230769230769162
108,106.0,1,0.018867924528301883,0.018867924528301883
107,107.0,-1,-0.0092592592592593,-0.0092592592592593
109,108.0,1,0.01869158878504673,-0.01869158878504673
111,109.0,1,0.0183486238532109,0.0183486238532109
